,nld,eng,ekk,fin,deu,ell,heb,ita,nor,rus,spa,tur
nld,0.0,0.16208565078463744,0.22154618752025423,0.3177577076620466,0.08479136935514109,0.2648798693916057,0.3362022514497416,0.22051623704604295,0.1290703136770922,0.185722639976022,0.26309410164505864,0.5381197846482993
eng,0.16208565078463744,0.0,0.2250445906761206,0.32288184222774674,0.1783573812752821,0.2677247101113216,0.3525603640556281,0.2494150018610506,0.14480724844421988,0.21661080545045408,0.2664057867817392,0.5757258414140267
ekk,0.22154618752025423,0.2250445906761206,0.0,0.15534697349866466,0.2094012072274537,0.23358428352315186,0.307943007043187,0.24150986620304205,0.13455586039527223,0.15105716697329263,0.25916097437706476,0.4733118927497597
fin,0.3177577076620466,0.32288184222774674,0.15534697349866466,0.0,0.3031316583274244,0.28391453982617254,0.3457938094526729,0.3352540134025981,0.23115701952900125,0.19082640628731296,0.326676291074508,0.43070185422058604
deu,0.08479136935514109,0.1783573812752821,0.2094012072274537,0.3031316583274244,0.0,0.2542986954627826,0.33681148643474923,0.23565328503250782,0.11929515407202085,0.17446875800983064,0.2774043162704871,0.5187822604885468
ell,0.2648798693916057,0.2677247101113216,0.23358428352315186,0.28391453982617254,0.2542986954627826,0.0,0.2975692704351589,0.19728613435475606,0.22384947429366708,0.18660102030300219,0.19943690604219622,0.49234029754768216
heb,0.3362022514497416,0.3525603640556281,0.307943007043187,0.3457938094526729,0.33681148643474923,0.2975692704351589,0.0,0.2922090830410715,0.2969487602232438,0.2869759040926192,0.3077974393093176,0.5661390843626877
ita,0.22051623704604295,0.2494150018610506,0.24150986620304205,0.3352540134025981,0.23565328503250782,0.19728613435475606,0.2922090830410715,0.0,0.23096129196346094,0.20660502415036952,0.10249033969894394,0.5218376421064399
nor,0.1290703136770922,0.14480724844421988,0.13455586039527223,0.23115701952900125,0.11929515407202085,0.22384947429366708,0.2969487602232438,0.23096129196346094,0.0,0.14075984102600814,0.24789856690964496,0.5138640879342485
rus,0.185722639976022,0.21661080545045408,0.15105716697329263,0.19082640628731296,0.17446875800983064,0.18660102030300219,0.2869759040926192,0.20660502415036952,0.14075984102600814,0.0,0.2236090344714462,0.4920278410328828
spa,0.26309410164505864,0.2664057867817392,0.25916097437706476,0.326676291074508,0.2774043162704871,0.19943690604219622,0.3077974393093176,0.10249033969894394,0.24789856690964496,0.2236090344714462,0.0,0.5584027662189028
tur,0.5381197846482993,0.5757258414140267,0.4733118927497597,0.43070185422058604,0.5187822604885468,0.49234029754768216,0.5661390843626877,0.5218376421064399,0.5138640879342485,0.4920278410328828,0.5584027662189028,0.0
